,id,title,type,status,yes,no,veto,abstain,no_vote,count,most_vote,most_vote_ratio
48,125,StarShell Security Audit  Community Spend Proposal Revised,CommunityPoolSpend,PASSED,26.0,0.0,0.0,9.0,23.0,58.0,yes,0.4482758620689655
49,124,StarShell Security Audit  Community Spend Proposal,CommunityPoolSpend,REJECTED,0.0,22.0,0.0,6.0,28.0,56.0,no_vote,0.5
50,122,Support Team Funding Proposal Dec 1st  March 1st,CommunityPoolSpend,PASSED,29.0,2.0,0.0,11.0,20.0,62.0,yes,0.46774193548387094
51,121,The API Proposal,CommunityPoolSpend,PASSED,30.0,2.0,0.0,11.0,21.0,64.0,yes,0.46875
52,120,Lorem Ipsum Metaverse  Community Spend Proposal,CommunityPoolSpend,PASSED,25.0,1.0,0.0,14.0,24.0,64.0,yes,0.390625
53,119,2022Q4 Testnet Committee,CommunityPoolSpend,PASSED,36.0,0.0,0.0,6.0,22.0,64.0,yes,0.5625
54,118,2022Q4 Governance Committee,CommunityPoolSpend,PASSED,38.0,0.0,0.0,9.0,17.0,64.0,yes,0.59375
55,117,CCBL Fee Grant Faucet,CommunityPoolSpend,PASSED,38.0,0.0,0.0,2.0,24.0,64.0,yes,0.59375
56,115,Secret DNS  Domain Name System on Secret  Community Spend Proposal,CommunityPoolSpend,PASSED,26.0,12.0,1.0,10.0,16.0,65.0,yes,0.4
57,114,Development Committee Funding 12 October 2022 to 11 January 2023,CommunityPoolSpend,PASSED,39.0,0.0,0.0,6.0,19.0,64.0,yes,0.609375
58,113,Minimum Validator Commission Rate Parameter Signal,Text,REJECTED,17.0,14.0,1.0,12.0,20.0,64.0,no_vote,0.3125
59,111,BizDev Committee Funding 01 October 2022 to 31 December 2022,CommunityPoolSpend,PASSED,40.0,1.0,0.0,5.0,18.0,64.0,yes,0.625
60,109,Crowdfunding platform CCBL project  Community spend proposal,CommunityPoolSpend,PASSED,40.0,1.0,0.0,8.0,16.0,65.0,yes,0.6153846153846154
61,108,Support Team Funding Proposal sept 1st  Dec 1st,CommunityPoolSpend,PASSED,38.0,0.0,0.0,8.0,19.0,65.0,yes,0.5846153846153846
62,107,Increase Max Validators to 90,ParameterChange,REJECTED,12.0,30.0,2.0,7.0,14.0,65.0,no,0.46153846153846156
63,106,2022Q3 Testnet Committee,CommunityPoolSpend,PASSED,33.0,0.0,0.0,12.0,19.0,64.0,yes,0.515625
64,105,DEFI Limit Orders  Community Spend Proposal,CommunityPoolSpend,PASSED,22.0,5.0,0.0,11.0,24.0,62.0,no_vote,0.3870967741935484
65,104,2022Q3 Governance Committee,CommunityPoolSpend,PASSED,24.0,0.0,0.0,12.0,27.0,63.0,no_vote,0.42857142857142855
66,102,Dev Committee Funding July 25  Oct 25,CommunityPoolSpend,PASSED,30.0,1.0,0.0,5.0,24.0,60.0,yes,0.5
67,100,BizDev Committee Proposal Q3,CommunityPoolSpend,PASSED,23.0,5.0,0.0,18.0,19.0,65.0,yes,0.35384615384615387
68,99,Secret University  Community Spend Proposal,CommunityPoolSpend,PASSED,32.0,0.0,0.0,10.0,22.0,64.0,yes,0.5
69,97,Dev Committee Funding June 22  Sept 22,CommunityPoolSpend,REJECTED,9.0,14.0,0.0,14.0,24.0,61.0,no_vote,0.39344262295081966
70,96,Community Pool Spend,CommunityPoolSpend,PASSED,25.0,0.0,0.0,8.0,27.0,60.0,no_vote,0.45
71,95,Education funding proposal JunAug,CommunityPoolSpend,REJECTED,17.0,12.0,0.0,22.0,14.0,65.0,abstain,0.3384615384615385
72,94,Secret Calendar Funding Proposal,CommunityPoolSpend,PASSED,22.0,4.0,0.0,21.0,18.0,65.0,yes,0.3384615384615385
73,93,Support Team Funding Proposal May 22nd  August 22nd,CommunityPoolSpend,PASSED,23.0,7.0,0.0,15.0,19.0,64.0,yes,0.359375
74,90,2022Q2 Governance Committee,CommunityPoolSpend,PASSED,38.0,0.0,0.0,7.0,20.0,65.0,yes,0.5846153846153846
75,89,Gauge community interest in changing Secret Foundation from a for profit to a non profit,Text,REJECTED,4.0,12.0,3.0,23.0,21.0,63.0,abstain,0.36507936507936506
76,88,Community Spend Proposal  Multiplayer Poker,CommunityPoolSpend,REJECTED,8.0,26.0,0.0,9.0,21.0,64.0,no,0.40625
77,87,Community Pool Proposal Cover  A Generalized Peer to Peer Lending Platform,CommunityPoolSpend,PASSED,18.0,4.0,0.0,19.0,23.0,64.0,no_vote,0.359375
78,86,Signal to change foundation tax to between 0 and 4,Text,PASSED,17.0,4.0,0.0,24.0,20.0,65.0,abstain,0.36923076923076925
79,85,Increase Max Validators to 80,ParameterChange,PASSED,38.0,8.0,0.0,4.0,16.0,66.0,yes,0.5757575757575758
80,84,A Secret Network initiative to promote expansion and a more decentralized blockchain adoption in Iberoamerica,CommunityPoolSpend,REJECTED,3.0,19.0,0.0,8.0,31.0,61.0,no_vote,0.5081967213114754
81,83,BizDev Committee Proposal Q2A,CommunityPoolSpend,PASSED,22.0,0.0,0.0,8.0,29.0,59.0,no_vote,0.4915254237288136
82,82,Awareness Committee Funding Q2 A,CommunityPoolSpend,PASSED,21.0,0.0,0.0,12.0,28.0,61.0,no_vote,0.45901639344262296
83,79,Development Committee Q1 Funding,CommunityPoolSpend,PASSED,29.0,2.0,0.0,6.0,25.0,62.0,yes,0.46774193548387094
84,78,International Growth Committee Proposal C,CommunityPoolSpend,PASSED,19.0,1.0,0.0,13.0,28.0,61.0,no_vote,0.45901639344262296
85,77,Support Team Q1 Volatility Resubmission Proposal,CommunityPoolSpend,PASSED,18.0,10.0,0.0,10.0,25.0,63.0,no_vote,0.3968253968253968
86,75,Funding proposal reference implementation contracts for fractionalized Secret NFTs and SNIP1155,CommunityPoolSpend,PASSED,25.0,0.0,0.0,7.0,28.0,60.0,no_vote,0.4666666666666667
87,74,Support Team Funding Proposal Feb 22nd  May 22nd,CommunityPoolSpend,PASSED,26.0,3.0,0.0,7.0,27.0,63.0,no_vote,0.42857142857142855
88,73,Education funding proposal febmay,CommunityPoolSpend,PASSED,28.0,1.0,0.0,4.0,29.0,62.0,no_vote,0.46774193548387094
89,72,2022Q1 Governance Committee,CommunityPoolSpend,PASSED,33.0,1.0,0.0,6.0,24.0,64.0,yes,0.515625
90,70,Secret Dreamscape Bootstrap Funding,CommunityPoolSpend,PASSED,28.0,0.0,0.0,6.0,28.0,62.0,yes,0.45161290322580644
91,69,Awareness Committee Funding Q1 A,CommunityPoolSpend,PASSED,31.0,0.0,0.0,4.0,27.0,62.0,yes,0.5
92,68,BizDev Committee Proposal Q1A,CommunityPoolSpend,PASSED,24.0,1.0,0.0,5.0,29.0,59.0,no_vote,0.4915254237288136
93,66,Education Committee Proposal C,CommunityPoolSpend,PASSED,26.0,0.0,0.0,4.0,31.0,61.0,no_vote,0.5081967213114754
94,65,International Growth Committee Proposal C,CommunityPoolSpend,PASSED,16.0,0.0,0.0,4.0,33.0,53.0,no_vote,0.6226415094339622
95,64,SCRT on Osmosis  Early Pool Incentives to Mitigate Slippage and Boost Liquidity,CommunityPoolSpend,PASSED,35.0,0.0,0.0,2.0,26.0,63.0,yes,0.5555555555555556
96,62,Secret Network Support Team Funding Proposal,CommunityPoolSpend,PASSED,27.0,0.0,0.0,4.0,28.0,59.0,no_vote,0.4745762711864407
97,60,Community Pool Proposal DataHub  Scaling Secret Network Infrastructure,CommunityPoolSpend,PASSED,27.0,0.0,0.0,3.0,28.0,58.0,no_vote,0.4827586206896552
