,voter,cluster_label,tsne_x,tsne_y,participation_rate
146,Stakecito,3,-9.371131897,12.454123497,0.8894230769230769
147,polkachucom,3,6.8783845901000005,10.3279161453,0.8846153846153846
148,Meria,7,-7.5483989716,-14.0976915359,0.3317307692307692
149,PRO Delegators,7,-7.757183075,-14.4639921188,0.3413461538461538
150,Interstellar Lounge ,6,0.30919218060000003,-14.7426261902,0.2019230769230769
151,DELIGHT,7,-2.2625279427,-11.4026269913,0.1153846153846153
152,DSRV,3,-7.4244642258,6.9907445908,0.4951923076923077
153,Blockdaemon,3,-6.7865953445,2.5388777256,0.4086538461538461
154,MMS,0,13.4804620743,-8.9940509796,0.0240384615384615
155,BronBro,3,-6.6359367371,7.519364357,0.8365384615384616
156,Cat Boss,7,9.8207435608,2.1298873425,0.1490384615384615
157,Cypher Core,3,-14.2093343735,6.2909584045,0.8076923076923077
158,SOLAR Labs,0,-4.2419524193,-19.7166576385,0.0336538461538461
159,wosmongton,2,-1.5233328342,-6.4211153984000005,0.0673076923076923
160,node101,4,-3.0813105106,-10.5354700089,0.0096153846153846
161,test,7,-6.0269408226,-9.1453533173,0.0
162,Stakeflow,7,-5.3536548615,-9.7245101929,0.0048076923076923
163,ChainLayer,3,-4.7540917397,3.3350610733,0.6634615384615384
164,Active Nodes,3,-2.6472725868,12.5459213257,0.8653846153846154
165,strangelove,1,4.0677647591,-11.7545423508,0.2740384615384615
166,ushakov,5,12.5897045135,-11.581454277,0.3173076923076923
167,c29r3,4,13.1911039352,0.4564994872,0.0336538461538461
168,Komikuri,3,-0.08756723250000001,14.0259847641,0.908653846153846
169,Allnodes,3,-9.0964536667,10.0232105255,0.4182692307692308
170,BadgerBite,0,-4.2278151512,-19.6813335419,0.0144230769230769
171,Klub Staking,3,-3.5126643181,9.2078447342,0.5528846153846154
172,PoS Node,1,1.0962332487,-16.4136104584,0.2451923076923076
173,FreshSTAKING,3,-11.9276990891,4.401348114,0.8846153846153846
174,SmartNodes,7,-3.0407471657,-5.6719813347,0.173076923076923
175,Tuzem,1,4.2368788719,-10.9753866196,0.0240384615384615
176,Staketab,2,-0.5982936025000001,-5.0662727356,0.0913461538461538
177,CryptoDungeon,1,0.3240876794,-9.4022846222,0.0865384615384615
178,Quebec,1,1.1408009529,-15.4327421188,0.2115384615384615
179,MrK,3,2.8606934547000002,3.9824283123,0.3269230769230769
180,commercionetwork,7,-5.1789917946,-4.0796523094,0.1346153846153846
181,SHUTTING DOWN AUDITone,3,-13.5479326248,11.5837917328,0.75
182,S16 Research Ventures,3,-7.1397762299,2.7335586548,0.6730769230769231
183,dForce,7,-5.1681008339,-3.9991879463,0.2548076923076923
184,Redelegate,5,13.5365924835,-6.9879693985,0.0528846153846153
185,ShapeShift DAO,3,-6.7950267792,0.4105094671,0.4903846153846153
186,Leonoors Cryptoman,3,3.1435582638,12.6331615448,0.9278846153846154
187,VALIDATRIUM,2,8.2800426483,-4.8770055771,0.0961538461538461
188,ztakeorg,2,6.5850849152,-10.6455249786,0.2259615384615384
189,iqlusion,7,-5.9335660934,-8.0521059036,0.0528846153846153
190,Tedcryptoio   TedLotto,1,-0.5718733668,-14.0256881714,0.1923076923076923
191,validatornetwork,7,1.5088205338,-6.2778987885,0.0673076923076923
192,Trust Nodes,6,-4.5167293549,-12.9167814255,0.1346153846153846
193,Interbloc,1,-12.2247829437,-3.5388996601000002,0.5144230769230769
194,Valnodes  Carbon Neutral Staking,2,-1.922005415,-5.0871024132,0.0576923076923076
195,kooltek68,2,8.4292993546,-12.6096029282,0.3461538461538461
196,fissionlabs,7,9.8567419052,1.8834314346,0.0240384615384615
197,Everstake,6,-4.5675024986,-12.8206605911,0.1634615384615384
198,Coinbase,3,1.5090209246,6.5779819489,0.3269230769230769
199,CroutonDigital,7,-0.5846902728,-12.2532625198,0.0528846153846153
200,StakeRelax ,7,0.0604525432,-9.2747030258,0.0096153846153846
201,TR3B ASTRA,2,10.8210515976,-9.9964056015,0.2932692307692308
202,Stargazezone ,2,5.3118577003,-5.5246391296,0.0144230769230769
203,Uncle Ed,3,2.1739809513,9.472284317,0.8413461538461539
204, Vortexlive ,7,-7.0027480125,-8.0960378647,0.2932692307692308
205,Blockpower,7,2.4086444378,-7.1127748489,0.1682692307692307
206,Larry Engineer,3,3.6577780247000002,9.4396181107,0.6153846153846154
207,AIR DROP STATION,7,3.2339634895,-6.7077960968,0.0144230769230769
208,IcyCRO ,7,-5.617814064,-8.4852619171,0.0913461538461538
209,Inactive Validator,2,2.4992871284000002,-4.9706783295,0.1057692307692307
210,Sunshine Validation solarpower,2,2.7925655842,-6.5549616814,0.0432692307692307
211,Multiplex,7,9.3895273209,-10.8760290146,0.25
212,PRYZM  StakeDrop,7,8.5734262466,-10.3631744385,0.2019230769230769
213,mp20,2,-1.5264072418,-7.0282607079,0.110576923076923
214,AlphaNodes,2,3.222653389,-14.7461957932,0.2211538461538461
215,Validators United,2,13.1623039246,-9.1862468719,0.0096153846153846
216,AstraVoyage,2,4.1218829155,-5.7004103661,0.1298076923076923
217,REDELEGATE  Inactive,2,7.1371641159,-7.9305763245,0.0144230769230769
218,Please redelegate  Decommissioning,2,9.0906505585,-7.4280247688,0.4278846153846153
219,Beehive,3,-2.4947917461,6.8785324097,0.6105769230769231
220,Validatus,2,0.8018543124,-13.0992183685,0.1826923076923076
221,coaction,5,13.899813652,-3.7879867554,0.0384615384615384
222,samurai,2,-1.2437894344,-5.2459011078,0.0625
223,SASSouth Atlantic Staking,2,4.8850317001,-6.215528965,0.0096153846153846
224,Cosmos Spaces ,2,7.963259697,-6.9855298996,0.2692307692307692
225,SCVSecurity,6,3.583660841,-8.7300643921,0.0096153846153846
226,Thanosone  I am inevitable,2,9.6632881165,-5.5060839653,0.0432692307692307
227,AnotherSoftware  ASVT Airdrops to delegators,2,6.2928371429,-7.6034564972,0.0144230769230769
228,Blockwavelabs,2,7.6684188843,-8.0722646713,0.0288461538461538
229,coinhallorg,6,7.5030150414,-13.1954088211,0.4326923076923077
230,StakeThat  autorestake,2,7.9486322403,-7.5511898994,0.0384615384615384
231,PLEASE REDELEGATE SUNSETTING,2,10.678155899,-7.0949039459,0.0288461538461538
232,Extra Rewards  NodeOf Cosmonauts  OSMOSIS,2,6.8375253677,-7.2697515488,0.0048076923076923
233,TienThuatToan,2,8.9972448349,-5.7909593582,0.0192307692307692
234,DeFi100iCosmosDAO ,2,7.63123703,-6.2983565331,0.0144230769230769
235,Zenith  REDELEGATE to Interbloc,2,10.360045433,-9.3683710098,0.1634615384615384
236,Not enough token to be active please redelegate,2,9.4061317444,-8.3942480087,0.0528846153846153
237,Androma DAO,2,9.9749965668,-8.7725906372,0.0769230769230769
238,Astroquirks,2,9.1969823837,-10.4520235062,0.1586538461538461
239,abcdosmo,2,6.7341880798,-7.3664517403,0.0048076923076923
240,defiantlabs,2,6.9535632133,-14.4137306213,0.3990384615384615
241,Interop,2,6.7047338486,-14.7229442596,0.3461538461538461
242,Electric,2,10.0106401443,-14.0128259659,0.0721153846153846
243,edenTest,7,7.5371813774,-5.44947052,0.0192307692307692
244,NodesByGirls ,2,9.1668748856,-13.992310524,0.0913461538461538
245,SpectrumX,2,3.3975875378000002,-13.2760753632,0.1153846153846153
246,Mendel,2,1.6651978493,-14.9585094452,0.1298076923076923
247,reynisfjara,2,5.7903342247,-9.4408473969,0.0288461538461538
248,Margined Protocol,2,2.8873567581,-13.4521913528,0.0961538461538461
249,NotionalVentures,2,2.2113316059,-14.354426384,0.0865384615384615
250,HFA X Defi Dojo,2,1.4823137522,-13.9961767197,0.0865384615384615
251,Mad Scientists,2,6.3934617043,-8.3898162842,0.0288461538461538
252,BeehiveOfficial,2,0.7082815170000001,-13.0905160904,0.0384615384615384
