,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Imperatorco, AutoStake  Slash Protected,StakeWithUs,Crosnest,Noderunners,Forbole,01node,Inotel,kytzu,Secure Secrets,0basevc,Smart Stake ,WhisperNode ,NFTSwitchxyz  Delegate for SOUL Claim Drop,Stakelyio, LavenderFive Nodes ,KingSuper,Cosmostation,White Whale,NodesGuru,Coinage x DAIC,Interstellar Lounge ,DELIGHT,Stakeflow,Active Nodes,strangelove,FreshSTAKING,MrK,ShapeShift DAO,Everstake,PRYZM  StakeDrop,SCVSecurity,coinhallorg,Wave,Stakin,WeStaking,syncnode,Enigma,NITAWA, uGaenn ,HEXXAGON,Crypto Plant,Easy 2 Stake,PFC  Stake for SOUL airdrop,cosmosrescue, polkachucom,0xDEADBEEF,Vixello,AuraStake,HighStakesch  Stake for Airdrop,Cosmos Spaces,Flipside,Moonlet,KuCoin,Orbital Command,Staker Space,Allnodes  0 fee,StakeLab,Anchor Staking,Interstake One prev BTCSecure,Nodeasy,Synergy Nodes,RockawayX Infra,Talis Protocol,ProNodes75,Autism Staking,KK Validator,8moon,BlockFoundry,RuneTerra,Galactic Punks Validator,Phoenix,Uranus,Leviathan,Top Shelf,Sarah Kerrigan,Nexus Event,LegendX,Moon Dog,Craig,Un Fuego,Goliath,TerraDactyl,Chaos Protocol,Interdimensional Cable,Red Herring  0 Commission  100 Uptime,Stake N Shake,HappyLunatic,managocloud,Futura Meridian,PigCash,Y,Eclipse,moonshot,Defi Suffrage,StakeBin,Mario,Zeus Staking,Humble Beginnings,Ceres Ventures,TerRarityio,OneStar,MCF,Moon Platoon,Spacehall prev Setten,MissionControl,Luna Station 88,Luna Rewards,The Mafia Wins Redelegate,Solid  solidonline, LUNC DAO ,Sapient Nodes,TdrSys,TERRAFIRMA,SeltonStakecom,Terran One,4719,Orion  AutoCompound, USTC Buyback   TerraAventura ,Terra Rebirth 0,Angel Protocol, CryptoCrew  100 MEV revenue to LUNA stakers IBCgang REstake,ERIS  Delegate for claimdrop,stakingcabin,LUNAStaker,dacm,BIG Labs,CosmoStake1,jesselstake,Electron Labs,North Star,ChainofSecretsorg,Kiki Finance,RockX,Hermes Protocol  Earn airdrops  more,StakeSabai,Obi Formerly Terra Bites,Spica Nova,TCB THORmaximalist,UST Zone  powered by FatMan,StakeMachine,SafePoint,Asnodes,Terrascope,TheNFTProject,Mosaic,WildSage  0 fee,Monster Node, The Lion DAO,URA   Delegate for Claimdrop,Morph Nato Prophet,Shutting Down May 1st 2024,Robo Staking,r93AX Nodes,high_similarity_voters
138,TCB THORmaximalist,14,4,1,3,0,22,22,44,10,10,0.45454545454545453,0.45454545454545453,0.5,6,0.11363636363636363,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.06818181818181818,0.0,0.18181818181818182,0.0,0.11363636363636363,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.06818181818181818,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.0,0.22727272727272727,0.0,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.0,0.1590909090909091,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.09090909090909091,0.20454545454545456,0.18181818181818182,0.022727272727272728,0.1590909090909091,0.022727272727272728,0.18181818181818182,0.045454545454545456,0.11363636363636363,0.2727272727272727,0.0,0.045454545454545456,0.06818181818181818,0.3181818181818182,0.0,0.2727272727272727,0.045454545454545456,0.0,0.1590909090909091,0.25,0.0,0.06818181818181818,0.0,0.0,0.29545454545454547,0.22727272727272727,0.09090909090909091,0.0,0.0,0.25,0.0,0.29545454545454547,0.0,0.11363636363636363,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.11363636363636363,0.18181818181818182,0.06818181818181818,0.18181818181818182,0.22727272727272727,0.20454545454545456,0.2727272727272727,0.25,0.09090909090909091,0.20454545454545456,0.3409090909090909,0.25,0.20454545454545456,0.2727272727272727,0.3181818181818182,0.25,0.0,0.22727272727272727,0.06818181818181818,0.0,0.11363636363636363,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.045454545454545456,0.18181818181818182,0.06818181818181818,0.022727272727272728,0.18181818181818182,0.13636363636363635,0.045454545454545456,0.022727272727272728,0.18181818181818182,0.13636363636363635,0.20454545454545456,0.06818181818181818,0.13636363636363635,0.29545454545454547,0.0,0.22727272727272727,0.22727272727272727,0.022727272727272728,0.22727272727272727,0.13636363636363635,0.022727272727272728,0.1590909090909091,0.3181818181818182,0.06818181818181818,0.022727272727272728,0.0,0.13636363636363635,0.045454545454545456,0.0,0.11363636363636363,0.045454545454545456,0.06818181818181818,0.0,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.0,0.0,0.18181818181818182,0.11363636363636363,0.13636363636363635,0.09090909090909091,1.0,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.0,0.0,0.0,0.0,[]
139,UST Zone  powered by FatMan,2,1,0,1,0,4,4,44,2,1,0.5,0.25,0.09090909090909091,0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.06818181818181818,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.06818181818181818,0.06818181818181818,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.06818181818181818,0.0,0.045454545454545456,0.022727272727272728,0.022727272727272728,1.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
140,StakeMachine,5,2,0,3,0,10,10,44,1,6,0.1,0.6,0.22727272727272727,2,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.0,0.09090909090909091,0.0,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.11363636363636363,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.0,0.0,0.13636363636363635,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091,0.0,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.0,0.06818181818181818,0.0,0.0,0.06818181818181818,0.045454545454545456,0.0,0.06818181818181818,0.0,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.022727272727272728,0.11363636363636363,0.06818181818181818,0.09090909090909091,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.0,0.09090909090909091,0.022727272727272728,0.0,0.045454545454545456,0.06818181818181818,0.0,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.11363636363636363,0.0,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.022727272727272728,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.022727272727272728,1.0,0.045454545454545456,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
141,SafePoint,2,3,0,2,0,7,7,44,1,4,0.14285714285714285,0.5714285714285714,0.1590909090909091,2,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.0,0.06818181818181818,0.06818181818181818,0.0,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.0,0.09090909090909091,0.022727272727272728,0.0,0.06818181818181818,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.06818181818181818,0.06818181818181818,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.045454545454545456,0.0,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.045454545454545456,0.0,0.022727272727272728,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.11363636363636363,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456,0.0,0.11363636363636363,0.0,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.06818181818181818,0.045454545454545456,0.022727272727272728,0.045454545454545456,1.0,0.0,0.09090909090909091,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
142,Asnodes,1,0,0,0,37,1,38,44,8,11,0.21052631578947367,0.2894736842105263,0.022727272727272728,6,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.5681818181818182,0.022727272727272728,0.8409090909090909,0.0,0.0,0.2727272727272727,0.5,0.0,0.0,0.20454545454545456,0.0,0.11363636363636363,0.45454545454545453,0.0,0.0,0.0,0.7954545454545454,0.0,0.4772727272727273,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.8409090909090909,0.6818181818181818,0.0,0.045454545454545456,0.0,0.0,0.22727272727272727,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.45454545454545453,0.29545454545454547,0.0,0.0,0.0,0.7045454545454546,0.7045454545454546,0.0,0.0,0.0,0.0,0.8409090909090909,0.8409090909090909,0.0,0.25,0.0,0.8409090909090909,0.8409090909090909,0.13636363636363635,0.8409090909090909,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.13636363636363635,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.7954545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.4318181818181818,0.8409090909090909,0.0,0.18181818181818182,0.6818181818181818,0.06818181818181818,0.18181818181818182,0.6363636363636364,0.75,0.8181818181818182,0.8181818181818182,0.8409090909090909,0.7727272727272727,0.045454545454545456,0.20454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Forbole', 'NodesGuru', 'ShapeShift DAO', 'Everstake', '0xDEADBEEF', 'Vixello', 'Moonlet', 'KuCoin', 'StakeLab', 'Anchor Staking', 'Nodeasy', 'RockawayX Infra', 'Red Herring  0 Commission  100 Uptime', 'managocloud', 'OneStar', 'The Mafia Wins Redelegate', 'Sapient Nodes', 'Terra Rebirth 0', 'ERIS  Delegate for claimdrop', 'dacm', 'BIG Labs', 'CosmoStake1', 'jesselstake', 'Electron Labs', 'North Star']"
143,Terrascope,4,14,0,13,0,31,31,44,10,10,0.3225806451612903,0.3225806451612903,0.7045454545454546,6,0.25,0.18181818181818182,0.25,0.18181818181818182,0.13636363636363635,0.0,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.13636363636363635,0.29545454545454547,0.25,0.25,0.20454545454545456,0.25,0.1590909090909091,0.11363636363636363,0.022727272727272728,0.3181818181818182,0.0,0.1590909090909091,0.09090909090909091,0.11363636363636363,0.022727272727272728,0.1590909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.11363636363636363,0.13636363636363635,0.38636363636363635,0.022727272727272728,0.09090909090909091,0.0,0.09090909090909091,0.06818181818181818,0.11363636363636363,0.18181818181818182,0.0,0.09090909090909091,0.3181818181818182,0.2727272727272727,0.045454545454545456,0.18181818181818182,0.09090909090909091,0.0,0.29545454545454547,0.22727272727272727,0.045454545454545456,0.13636363636363635,0.0,0.0,0.22727272727272727,0.18181818181818182,0.20454545454545456,0.0,0.0,0.3181818181818182,0.0,0.09090909090909091,0.0,0.1590909090909091,0.13636363636363635,0.29545454545454547,0.13636363636363635,0.11363636363636363,0.29545454545454547,0.11363636363636363,0.13636363636363635,0.2727272727272727,0.22727272727272727,0.25,0.20454545454545456,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.3181818181818182,0.20454545454545456,0.25,0.25,0.25,0.22727272727272727,0.20454545454545456,0.0,0.22727272727272727,0.06818181818181818,0.0,0.20454545454545456,0.06818181818181818,0.0,0.022727272727272728,0.13636363636363635,0.0,0.22727272727272727,0.0,0.0,0.18181818181818182,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.11363636363636363,0.20454545454545456,0.045454545454545456,0.045454545454545456,0.20454545454545456,0.0,0.13636363636363635,0.13636363636363635,0.0,0.25,0.3181818181818182,0.06818181818181818,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.0,0.0,0.022727272727272728,0.3409090909090909,0.045454545454545456,0.3181818181818182,0.13636363636363635,0.06818181818181818,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.11363636363636363,0.06818181818181818,0.06818181818181818,0.18181818181818182,0.09090909090909091,0.0,0.06818181818181818,0.09090909090909091,0.0,1.0,0.022727272727272728,0.0,0.20454545454545456,0.0,0.11363636363636363,0.09090909090909091,0.022727272727272728,0.0,0.0,0.0,[]
144,TheNFTProject,0,1,0,0,16,1,17,44,6,14,0.35294117647058826,0.8235294117647058,0.022727272727272728,2,0.0,0.022727272727272728,0.045454545454545456,0.2727272727272727,0.0,0.36363636363636365,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.022727272727272728,0.13636363636363635,0.0,0.06818181818181818,0.18181818181818182,0.0,0.0,0.022727272727272728,0.36363636363636365,0.0,0.1590909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.045454545454545456,0.022727272727272728,0.0,0.06818181818181818,0.0,0.022727272727272728,0.0,0.022727272727272728,0.11363636363636363,0.0,0.1590909090909091,0.13636363636363635,0.022727272727272728,0.0,0.022727272727272728,0.3181818181818182,0.36363636363636365,0.022727272727272728,0.022727272727272728,0.0,0.0,0.36363636363636365,0.36363636363636365,0.0,0.13636363636363635,0.0,0.36363636363636365,0.36363636363636365,0.11363636363636363,0.36363636363636365,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.11363636363636363,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.18181818181818182,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.13636363636363635,0.0,0.0,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.36363636363636365,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.36363636363636365,0.36363636363636365,0.0,0.045454545454545456,0.22727272727272727,0.022727272727272728,0.045454545454545456,0.22727272727272727,0.29545454545454547,0.36363636363636365,0.38636363636363635,0.36363636363636365,0.36363636363636365,0.045454545454545456,0.20454545454545456,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.36363636363636365,0.022727272727272728,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
145,Mosaic,1,0,0,0,0,1,1,44,0,1,0.0,1.0,0.022727272727272728,2,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
146,WildSage  0 fee,8,8,0,7,0,23,23,44,12,11,0.5217391304347826,0.4782608695652174,0.5227272727272727,6,0.29545454545454547,0.25,0.22727272727272727,0.13636363636363635,0.18181818181818182,0.0,0.22727272727272727,0.022727272727272728,0.0,0.09090909090909091,0.29545454545454547,0.22727272727272727,0.22727272727272727,0.1590909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.20454545454545456,0.0,0.20454545454545456,0.11363636363636363,0.045454545454545456,0.0,0.25,0.0,0.045454545454545456,0.06818181818181818,0.0,0.0,0.18181818181818182,0.18181818181818182,0.25,0.0,0.11363636363636363,0.0,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.18181818181818182,0.022727272727272728,0.06818181818181818,0.18181818181818182,0.3181818181818182,0.06818181818181818,0.22727272727272727,0.0,0.0,0.09090909090909091,0.20454545454545456,0.045454545454545456,0.0,0.0,0.0,0.22727272727272727,0.1590909090909091,0.11363636363636363,0.0,0.0,0.11363636363636363,0.0,0.22727272727272727,0.022727272727272728,0.1590909090909091,0.1590909090909091,0.29545454545454547,0.06818181818181818,0.09090909090909091,0.20454545454545456,0.13636363636363635,0.09090909090909091,0.18181818181818182,0.3409090909090909,0.36363636363636365,0.2727272727272727,0.3409090909090909,0.3181818181818182,0.11363636363636363,0.2727272727272727,0.3409090909090909,0.22727272727272727,0.3409090909090909,0.29545454545454547,0.29545454545454547,0.22727272727272727,0.0,0.2727272727272727,0.0,0.0,0.1590909090909091,0.045454545454545456,0.0,0.0,0.18181818181818182,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0,0.20454545454545456,0.38636363636363635,0.0,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.18181818181818182,0.06818181818181818,0.045454545454545456,0.1590909090909091,0.0,0.18181818181818182,0.18181818181818182,0.022727272727272728,0.20454545454545456,0.11363636363636363,0.022727272727272728,0.1590909090909091,0.22727272727272727,0.06818181818181818,0.0,0.0,0.06818181818181818,0.20454545454545456,0.09090909090909091,0.22727272727272727,0.1590909090909091,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.22727272727272727,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.20454545454545456,0.0,0.0,1.0,0.0,0.11363636363636363,0.06818181818181818,0.022727272727272728,0.022727272727272728,0.0,0.0,[]
147,Monster Node,3,1,0,0,0,4,4,44,3,3,0.75,0.75,0.09090909090909091,0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.06818181818181818,0.06818181818181818,0.0,0.022727272727272728,0.045454545454545456,0.022727272727272728,0.0,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.0,0.0,0.022727272727272728,0.06818181818181818,0.0,0.0,0.0,0.0,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.045454545454545456,0.0,0.06818181818181818,0.0,0.06818181818181818,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.0,0.06818181818181818,0.0,0.06818181818181818,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.06818181818181818,0.06818181818181818,0.0,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.06818181818181818,0.09090909090909091,0.06818181818181818,0.06818181818181818,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.09090909090909091,0.0,0.022727272727272728,0.022727272727272728,0.0,0.09090909090909091,0.022727272727272728,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.09090909090909091,0.022727272727272728,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,0.0,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.022727272727272728,0.045454545454545456,[]
