,voter,yes,no,veto,abstain,no_vote,valid_votes,total_votes,proposal_num,overall_match,cluster_match,overall_match_rate,cluster_match_rate,participation_rate,cluster_label,Chainflow,Imperatorco, AutoStake  Slash Protected,StakeWithUs,Simply Staking,StakeLabzone,SpacePotato,Vitwit Previously Witval,SG1,Chorus One,Forbole,POSTHUMAN  StakeDrop,Ping,0basevc,Smart Stake , block pane ,WhisperNode ,a41,Stakyio,Kahuna,16psyche,Nocturnal Labs,decentralizehk  DHK dao,Kalia Network,ECO Stake ,NosNode,Citadelone,Informal Systems, LavenderFive Nodes ,Frens ,Cosmostation,Kleomedes,OmniFlix Network,GATA HUB,hydrogen18,Coinage x DAIC,Stakecito,Meria,BronBro,Cypher Core,ChainLayer,Active Nodes,DACM,strangelove,ushakov,c29r3,Allnodes,PoS Node,Tedcryptoio   TedLotto,kooltek68,CroutonDigital,coaction,EZ Staking,Stakin,notional,WeStaking,SmartNodes  Slash Protected,Yurbason,Neta DAO,Chandra Station,Stake Frites  ,Decloud Nodes Lab,HashKey Cloud,chainvibes,Consensus One,Stakewollecom  Autocompound,Wetez,Architect Nodes,HEXXAGON,DECOMISSIONED AUDITone,Army IDs,Bit Cat,Easy 2 Stake,Nodeasycom,jetlife,Bliss Dynamics,Sikka,PLEASE REDELEGATECLOSED,SNZPool,Autonomy  Formerly PrithviDevs ,Baset,Huobi,ChainodeTech,kano,Cosmic Validator  Auto Compound,ValidatorNode,UNDELEGATE FROM HERE,stakezone,gunray,Bi23,Psycho Node,Bitoven,Komichaincom,BoxedCloudnet,MANTRA,eol,cosmosrescue,SkyNet  Validators,Cosmonaut Stakes AKT,Dwebnet,DLINODESCOM,GlacierLuo,Domination Finance,Arcturian Tech,Akash Af,ALTER  pathrocknetwork,decommissioned,BridgeTower,Dora Factory PGS,MedasDigital,STAKINOLD,Cloudmos,Former Moultrie Audits Inactive,MOVING TO NAKANODOXYZ,VaultStaking,TRGC By Liquify,astravoyage,Anonstake, polkachucom,kavalabs,AGE Network,acheron,Octopos,shepaintedfireacrossthesky,monolith,SHEA Staking,Dorminik,UNBONDING,Inactive pls undelegate,GreenStake One,inactive,Oni   Stake for BoostDrop ,Praetor App,0xDEADBEEF,w3coins,Vixello,Aurora Staking ,50 Validator  Airdrop,Passage,NoDumpNode,Jormungand  0y,INACTIVE Please Redelegate  Trivium  TriviumNetwork,StakeSeeker by BTCS,Crypto Lab Tech,europlots, CryptoCrew Validators,Quasarch,Ariel Akash Insider  Powered by NextNetWorks,Atomstaking,black lodge,SHUTTING DOWN,Crypto and Coffee,FoundryUSA,OGnome,Defi Dojo Validation,high_similarity_voters
141,INACTIVE Please Redelegate  Trivium  TriviumNetwork,0,0,0,1,0,1,1,50,0,0,0.0,0.0,0.02,2,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
142,StakeSeeker by BTCS,7,0,0,9,0,16,16,50,7,7,0.4375,0.4375,0.32,7,0.1,0.12,0.12,0.12,0.1,0.06,0.12,0.06,0.06,0.12,0.1,0.08,0.02,0.14,0.14,0.06,0.0,0.0,0.0,0.0,0.08,0.1,0.06,0.14,0.12,0.18,0.08,0.1,0.08,0.0,0.14,0.06,0.08,0.06,0.0,0.0,0.08,0.1,0.0,0.1,0.14,0.14,0.1,0.0,0.04,0.08,0.08,0.12,0.06,0.1,0.0,0.0,0.06,0.14,0.12,0.12,0.0,0.0,0.12,0.06,0.1,0.12,0.0,0.14,0.0,0.12,0.06,0.0,0.0,0.0,0.12,0.04,0.04,0.06,0.06,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.14,0.0,0.02,0.0,0.08,0.02,0.16,0.1,0.1,0.0,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.06,0.0,0.0,0.1,0.0,0.0,0.02,0.1,0.0,0.06,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.1,0.0,0.0,0.12,0.04,0.12,0.06,0.02,1.0,0.02,0.04,0.0,0.06,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,[]
143,Crypto Lab Tech,13,2,0,0,0,15,15,50,15,15,1.0,1.0,0.3,4,0.2,0.16,0.2,0.18,0.14,0.1,0.14,0.22,0.04,0.28,0.14,0.26,0.1,0.3,0.1,0.0,0.22,0.0,0.0,0.06,0.22,0.26,0.2,0.28,0.3,0.18,0.16,0.12,0.22,0.1,0.3,0.18,0.14,0.18,0.0,0.1,0.28,0.22,0.0,0.24,0.16,0.3,0.18,0.18,0.0,0.26,0.22,0.28,0.3,0.18,0.1,0.0,0.12,0.2,0.08,0.22,0.0,0.0,0.3,0.06,0.26,0.3,0.02,0.3,0.0,0.28,0.04,0.0,0.0,0.0,0.3,0.08,0.2,0.18,0.0,0.24,0.02,0.0,0.0,0.2,0.0,0.0,0.14,0.0,0.22,0.3,0.0,0.02,0.0,0.16,0.0,0.16,0.22,0.04,0.0,0.0,0.1,0.02,0.18,0.0,0.0,0.0,0.0,0.1,0.04,0.08,0.0,0.16,0.18,0.0,0.0,0.28,0.0,0.0,0.0,0.04,0.0,0.28,0.3,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.14,0.28,0.0,0.2,0.14,0.18,0.26,0.0,0.24,0.2,0.0,0.02,1.0,0.3,0.0,0.26,0.04,0.28,0.06,0.0,0.14,0.22,0.02,0.1,[]
144,europlots,28,4,0,0,0,32,32,50,31,30,0.96875,0.9375,0.64,4,0.34,0.36,0.48,0.42,0.36,0.14,0.18,0.48,0.06,0.58,0.32,0.58,0.12,0.62,0.14,0.02,0.46,0.0,0.0,0.22,0.5,0.58,0.44,0.58,0.64,0.38,0.36,0.4,0.48,0.24,0.6,0.32,0.3,0.36,0.0,0.26,0.58,0.54,0.0,0.42,0.38,0.64,0.34,0.38,0.0,0.56,0.54,0.58,0.52,0.28,0.16,0.04,0.28,0.4,0.16,0.46,0.0,0.0,0.6,0.14,0.56,0.56,0.02,0.58,0.0,0.62,0.12,0.04,0.0,0.0,0.6,0.16,0.4,0.36,0.0,0.48,0.02,0.0,0.0,0.32,0.0,0.02,0.34,0.0,0.5,0.6,0.0,0.02,0.0,0.36,0.02,0.36,0.48,0.08,0.0,0.0,0.22,0.02,0.4,0.02,0.0,0.0,0.0,0.22,0.2,0.2,0.0,0.36,0.32,0.0,0.0,0.58,0.0,0.0,0.0,0.12,0.0,0.6,0.64,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.1,0.0,0.0,0.34,0.54,0.0,0.48,0.2,0.4,0.48,0.0,0.54,0.38,0.0,0.04,0.3,1.0,0.0,0.52,0.1,0.58,0.06,0.0,0.28,0.34,0.02,0.14,"['0basevc', 'ECO Stake ', 'Cosmostation', 'Active Nodes', 'Neta DAO', 'Stakewollecom  Autocompound', 'Army IDs', 'ValidatorNode', 'Anonstake', ' polkachucom']"
145, CryptoCrew Validators,0,0,0,5,0,5,5,50,0,0,0.0,0.0,0.1,6,0.0,0.08,0.06,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[]
146,Quasarch,26,5,0,1,0,32,32,50,30,27,0.9375,0.84375,0.64,4,0.34,0.34,0.42,0.46,0.38,0.16,0.14,0.4,0.08,0.56,0.34,0.5,0.1,0.58,0.16,0.04,0.4,0.0,0.0,0.18,0.42,0.56,0.46,0.58,0.6,0.4,0.32,0.46,0.46,0.18,0.58,0.24,0.32,0.34,0.02,0.22,0.52,0.52,0.0,0.46,0.34,0.62,0.32,0.32,0.04,0.52,0.46,0.54,0.44,0.26,0.1,0.04,0.26,0.38,0.2,0.46,0.0,0.0,0.58,0.2,0.52,0.58,0.02,0.56,0.02,0.6,0.12,0.02,0.0,0.0,0.6,0.12,0.38,0.4,0.04,0.5,0.02,0.0,0.0,0.32,0.0,0.04,0.32,0.0,0.46,0.56,0.0,0.02,0.0,0.34,0.04,0.38,0.48,0.06,0.0,0.0,0.18,0.02,0.36,0.02,0.0,0.0,0.0,0.16,0.16,0.22,0.0,0.36,0.3,0.0,0.0,0.54,0.0,0.0,0.0,0.18,0.0,0.5,0.62,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.12,0.0,0.0,0.3,0.56,0.0,0.4,0.16,0.36,0.46,0.0,0.54,0.4,0.0,0.06,0.26,0.52,0.0,1.0,0.12,0.5,0.06,0.0,0.24,0.28,0.02,0.1,"['ECO Stake ', 'Active Nodes', 'Stakewollecom  Autocompound', 'Army IDs', ' polkachucom']"
147,Ariel Akash Insider  Powered by NextNetWorks,5,1,0,0,0,6,6,50,6,6,1.0,1.0,0.12,2,0.12,0.04,0.04,0.1,0.08,0.02,0.0,0.06,0.0,0.1,0.04,0.1,0.04,0.12,0.02,0.0,0.1,0.0,0.0,0.08,0.1,0.1,0.08,0.1,0.12,0.02,0.04,0.1,0.08,0.02,0.12,0.0,0.1,0.06,0.02,0.08,0.1,0.1,0.0,0.12,0.04,0.12,0.06,0.04,0.0,0.08,0.08,0.12,0.08,0.06,0.0,0.0,0.06,0.06,0.02,0.06,0.0,0.0,0.1,0.08,0.1,0.1,0.0,0.1,0.02,0.12,0.0,0.0,0.0,0.0,0.12,0.02,0.08,0.1,0.02,0.08,0.02,0.0,0.0,0.04,0.0,0.02,0.06,0.0,0.04,0.1,0.0,0.0,0.0,0.06,0.0,0.04,0.12,0.0,0.0,0.0,0.02,0.0,0.06,0.02,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.06,0.08,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.1,0.12,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.0,0.08,0.12,0.0,0.04,0.04,0.08,0.06,0.0,0.1,0.08,0.0,0.0,0.04,0.1,0.0,0.12,1.0,0.1,0.0,0.0,0.04,0.1,0.0,0.0,[]
148,Atomstaking,27,3,0,0,0,30,30,50,30,28,1.0,0.9333333333333333,0.6,4,0.34,0.32,0.42,0.42,0.36,0.12,0.16,0.46,0.06,0.56,0.28,0.52,0.12,0.6,0.12,0.02,0.44,0.0,0.0,0.22,0.44,0.56,0.42,0.56,0.58,0.38,0.34,0.36,0.5,0.22,0.58,0.32,0.28,0.38,0.0,0.26,0.56,0.52,0.0,0.44,0.36,0.58,0.3,0.36,0.0,0.56,0.48,0.56,0.5,0.28,0.14,0.02,0.28,0.34,0.12,0.44,0.0,0.0,0.54,0.12,0.5,0.5,0.02,0.56,0.0,0.56,0.12,0.02,0.0,0.0,0.58,0.16,0.36,0.36,0.0,0.46,0.02,0.0,0.0,0.32,0.0,0.02,0.32,0.0,0.48,0.58,0.0,0.02,0.0,0.34,0.02,0.32,0.48,0.08,0.0,0.0,0.2,0.02,0.4,0.02,0.0,0.0,0.0,0.2,0.18,0.2,0.0,0.34,0.32,0.0,0.0,0.52,0.0,0.0,0.0,0.14,0.0,0.58,0.58,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.1,0.0,0.0,0.34,0.48,0.0,0.48,0.2,0.38,0.46,0.0,0.48,0.34,0.0,0.04,0.28,0.58,0.0,0.5,0.1,1.0,0.04,0.0,0.26,0.32,0.02,0.14,['0basevc']
149,black lodge,3,1,0,0,0,4,4,50,4,3,1.0,0.75,0.08,5,0.04,0.06,0.06,0.06,0.06,0.06,0.04,0.04,0.02,0.06,0.04,0.06,0.02,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.04,0.08,0.06,0.08,0.06,0.08,0.06,0.0,0.06,0.06,0.04,0.02,0.0,0.0,0.08,0.08,0.0,0.04,0.04,0.08,0.02,0.0,0.0,0.04,0.04,0.06,0.06,0.06,0.0,0.0,0.0,0.06,0.08,0.04,0.0,0.0,0.08,0.02,0.08,0.08,0.0,0.06,0.0,0.08,0.04,0.0,0.0,0.0,0.06,0.02,0.04,0.0,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.04,0.06,0.0,0.0,0.0,0.02,0.0,0.08,0.04,0.04,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.04,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.06,0.0,0.0,0.06,0.0,0.08,0.0,0.0,0.02,0.06,0.06,0.0,0.06,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,[]
150,SHUTTING DOWN,0,0,0,1,0,1,1,50,0,0,0.0,0.0,0.02,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,[]
151,Crypto and Coffee,13,2,0,0,0,15,15,50,14,14,0.9333333333333333,0.9333333333333333,0.3,4,0.16,0.1,0.18,0.16,0.18,0.04,0.08,0.26,0.0,0.26,0.12,0.28,0.04,0.28,0.04,0.0,0.28,0.0,0.0,0.1,0.22,0.26,0.22,0.28,0.28,0.14,0.18,0.14,0.18,0.16,0.28,0.12,0.1,0.2,0.0,0.18,0.28,0.24,0.0,0.2,0.2,0.28,0.18,0.22,0.0,0.28,0.26,0.28,0.24,0.1,0.12,0.0,0.16,0.14,0.0,0.2,0.0,0.0,0.26,0.06,0.24,0.24,0.0,0.3,0.0,0.28,0.0,0.04,0.0,0.0,0.28,0.02,0.2,0.2,0.0,0.22,0.02,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.24,0.26,0.0,0.0,0.0,0.16,0.0,0.1,0.24,0.0,0.0,0.0,0.16,0.0,0.14,0.0,0.0,0.0,0.0,0.18,0.12,0.12,0.0,0.14,0.1,0.0,0.0,0.26,0.0,0.0,0.0,0.02,0.0,0.28,0.28,0.04,0.06,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.2,0.28,0.0,0.2,0.08,0.28,0.26,0.0,0.24,0.22,0.0,0.0,0.14,0.28,0.0,0.24,0.04,0.26,0.0,0.0,1.0,0.2,0.02,0.1,[]
152,FoundryUSA,15,2,0,0,0,17,17,50,17,17,1.0,1.0,0.34,4,0.22,0.14,0.18,0.2,0.14,0.04,0.12,0.28,0.02,0.32,0.12,0.32,0.1,0.34,0.08,0.0,0.34,0.0,0.0,0.14,0.28,0.3,0.28,0.32,0.34,0.14,0.18,0.1,0.24,0.18,0.34,0.12,0.14,0.22,0.0,0.2,0.34,0.28,0.0,0.26,0.2,0.34,0.22,0.28,0.0,0.32,0.3,0.34,0.32,0.14,0.16,0.0,0.18,0.18,0.0,0.2,0.0,0.0,0.32,0.06,0.32,0.32,0.02,0.32,0.0,0.34,0.0,0.04,0.0,0.0,0.34,0.04,0.22,0.24,0.0,0.22,0.02,0.0,0.0,0.2,0.0,0.0,0.18,0.0,0.26,0.32,0.0,0.02,0.0,0.2,0.0,0.12,0.28,0.0,0.0,0.0,0.16,0.0,0.14,0.02,0.0,0.0,0.0,0.16,0.1,0.1,0.0,0.12,0.16,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.32,0.34,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.22,0.3,0.0,0.22,0.14,0.28,0.28,0.0,0.28,0.26,0.0,0.0,0.22,0.34,0.0,0.28,0.1,0.32,0.0,0.0,0.2,1.0,0.02,0.14,[]
153,OGnome,1,0,0,0,0,1,1,50,1,1,1.0,1.0,0.02,2,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.02,0.02,1.0,0.02,[]
154,Defi Dojo Validation,6,1,0,0,0,7,7,50,7,7,1.0,1.0,0.14,2,0.04,0.04,0.04,0.02,0.02,0.0,0.08,0.12,0.0,0.14,0.04,0.12,0.02,0.14,0.04,0.0,0.14,0.0,0.0,0.06,0.12,0.12,0.12,0.14,0.14,0.06,0.04,0.02,0.08,0.14,0.14,0.06,0.02,0.08,0.0,0.12,0.14,0.12,0.0,0.08,0.08,0.14,0.1,0.14,0.0,0.14,0.12,0.14,0.14,0.0,0.14,0.0,0.06,0.04,0.0,0.1,0.0,0.0,0.14,0.0,0.12,0.14,0.0,0.14,0.0,0.14,0.0,0.02,0.0,0.0,0.14,0.0,0.08,0.08,0.0,0.06,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.0,0.12,0.14,0.0,0.0,0.0,0.08,0.0,0.04,0.1,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.12,0.1,0.0,0.12,0.04,0.12,0.12,0.0,0.1,0.12,0.0,0.0,0.1,0.14,0.0,0.1,0.0,0.14,0.0,0.0,0.1,0.14,0.02,1.0,[]
